Period,Afghanistan,Angola,Albania,United Arab Emirates,Argenti0,Armenia,Developing Asia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burki0 Faso,Bangladesh,Bulgaria,Bahrain,Bahamas,Bosnia and Herzegovi0,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswa0,Central African Republic,Ca0da,Switzerland,Chile,Chi0,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Developing Countries,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific developing,Europe & Central Asia developing,Ecuador,"Egypt, Arab Rep.",Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Gha0,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Gre0da,Guatemala,Guya0,High Income Countries,"Hong Kong SAR, Chi0",Honduras,Croatia,Haiti,Hungary,High income: OECD,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean developing,"Lao, PDR",Lebanon,Liberia,Libya,St. Lucia,Low Income,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle Income Countries,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & N. Africa developing,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,0mibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,High Income: Non-OECD,Oman,Pakistan,Pa0ma,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia developing,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Serbia,South Sudan,Sub-Saharan Africa developing,Sao Tome and Principe,Suri0me,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Chi0","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Gre0dines,"Venezuela, RB",Viet0m,Vanuatu,World (WBG members),Samoa,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2009,50.325,79.17719,94.94452,3.672951,3.729228,363.2833,1030.8,2.691761,1.280824,0.719262,0.805384,1230.144,0.719262,472.1863,472.1863,69.02664,1.407601,0.376996,1,1.407282,2789.863,2,7.033454,1.99949,2,1.454247,48.42569,7.150789,472.1863,1.141204,1.085585,559.1741,6.831506,471.6391,472.1863,804.555,472.1863,2156.619,353.9453,80.03542,573.1623,0.719262,19.05548,0.719262,836.6949,177.721,2.7,5.356056,35.95778,72.51425,1284.235,161.4901,1,5.552551,15.375,0.719262,0.719262,11.82479,0.719262,1.953044,0.719262,1,472.1863,0.640837,1.66976,1.431651,4966.528,26.55682,472.1863,472.1863,0.719262,2.7,8.143622,203.95,47.36339,7.751638,18.89244,5.281883,39.88605,202.0592,49.71875,10405.66,48.42569,0.719262,9874.021,1170,123.671,3.928418,0.719262,88.32628,0.708084,93.60713,147.662,77.23745,42.86516,4139.333,1.282189,2.7,1277.013,0.288348,173.4351,8516.053,1502.16,68.28667,1.253534,2.7,700.0559,114.9601,8.418819,0.719262,0.719262,0.719262,8.093179,11.12202,1977.844,12.8,13.50751,838.7589,44.29977,472.1863,0.719262,5.576367,3815.155,0.719843,1450.258,27.64114,263.176,31.91693,141.1387,3.524723,8.418819,472.1863,149.7682,20.33894,0.719262,6.289646,77.45601,1.598696,3.799132,0.384973,81.69912,1,3.010902,47.62979,2.69913,3.117744,0.719262,4969.681,1,3.640883,3.048032,31.77019,568.2533,54.52456,3.750241,2.329373,472.1863,1.454287,7.934662,3320.097,8.748879,0.719843,67.5806,0,233.3023,16.20845,2.74492,0.719262,0.719262,7.648044,8.418819,13.71745,11.225,472.1863,472.1863,34.33252,4.142708,0,1,2.027207,6.298874,1.349753,1.554153,33.0338,1325.599,2030.42,8.068736,22.53596,1,1465.598,2.7,2.147,17799.81,107.2778,290.5285,2.734088,202.803,8.418819,5.047994,276.276
2010,46.45246,91.90104,104.0333,3.672993,3.91168,373.6605,944.9483,2.7,1.089599,0.755022,0.803341,1230.743,0.755022,495.277,495.277,69.60687,1.476882,0.377,0.999844,1.476596,2980.054,2,7.022022,1.760206,1.999984,1.363155,45.73159,6.788871,495.277,1.030545,1.042843,510.144,6.76909,495.3671,495.277,905.8222,495.277,1898.367,371.4028,83.27869,525.5266,0.755022,19.09572,0.755022,796.5292,177.721,2.7,5.622956,36.86915,73.81721,1176.608,169.1014,1,5.633609,15.375,0.755022,0.755022,14.46305,0.755022,1.918084,0.755022,1,495.277,0.647392,1.781665,1.432958,5612.221,27.80155,495.277,495.277,0.755022,2.7,8.060178,203.6358,43.46578,7.768907,18.895,5.503139,39.79499,208.0132,45.61106,9086.011,45.73159,0.755022,10071.7,1170,122.2164,3.733089,0.755022,87.43783,0.708203,87.76376,147.3647,79.16911,45.85971,4184.917,1.090159,2.7,1156.356,0.286925,155.1023,8258.77,1501.144,71.40333,1.266789,2.7,762.3177,113.0404,7.320391,0.755022,0.755022,0.755022,8.424637,12.37771,2112.27,12.8,12.63424,797.0339,46.46374,495.277,0.755022,5.634883,3888.462,0.755045,1357.238,34.32092,275.9758,30.81554,150.7135,3.22098,7.320391,495.277,151.0353,21.35595,0.755022,6.043648,73.16027,1.387236,3.787198,0.384964,85.17356,1,2.825137,45.09475,2.700644,3.016334,0.755022,4752.8,1,3.640534,3.180311,30.36816,583.0829,52.55436,3.75002,2.341253,495.277,1.363172,7.868448,3901.064,8.748008,0.755045,77.72893,0,249.2965,18.4986,2.745,0.755022,0.755022,7.205405,7.320391,12.11036,11.225,495.277,495.277,31.71707,4.378967,0,1,1.909216,6.338397,1.43166,1.507211,31.49765,1441.587,2177.427,7.951781,20.00973,1,1586.115,2.7,4.243857,19125.11,99.71362,275.4491,2.4849,219.5044,7.320391,4.797332,322.355
2011,46.74701,93.71582,100.9197,3.673,4.12933,372.5009,938.692,2.7,0.969085,0.719044,0.789821,1260.502,0.719044,471.8661,471.8661,74.05908,1.406484,0.377,1,1.406202,5197.67,2,6.954581,1.674466,2,1.25741,46.66909,6.838402,471.8661,0.989135,0.887473,483.6478,6.464559,472.3987,471.8661,919.256,471.8661,1848.017,353.8332,79.27688,505.6999,0.719044,17.68667,0.719044,812.9801,177.721,2.7,5.357563,38.08612,72.98399,1168.452,239.5708,1,5.943931,15.375,0.719044,0.719044,16.97536,0.719044,1.792229,0.719044,1,471.8661,0.62366,1.685138,1.546561,6938.227,28.39087,471.8661,471.8661,0.719044,2.7,7.787266,204.0175,41.08805,7.784338,18.89485,5.349507,40.30667,201.1403,43.10415,8774.394,46.66909,0.719044,10616.75,1170,116.0426,3.578113,0.719044,86.01165,0.708075,79.73742,146.6544,88.80095,46.13171,4058.5,0.969463,2.7,1108.054,0.27638,149.0657,8030.055,1505.842,72.22667,1.224152,2.7,829.0906,110.5384,7.263198,0.719044,0.719044,0.719044,8.095392,11.72825,2027.361,14.45685,12.43963,812.7179,44.27011,471.8661,0.719044,5.444108,4089.012,0.719355,1263.915,29.06688,281.367,28.70969,156.9053,3.058833,7.263198,471.8661,155.8733,22.41994,0.719044,5.607212,74.66911,1.265359,3.798668,0.385,86.33994,1,2.754219,43.30552,2.353599,2.964322,0.719044,4198.732,1,3.641533,3.049533,29.40614,600.3105,53.61497,3.750121,2.669848,471.8661,1.257494,7.535285,4264.954,8.748908,0.719355,73.3334,2.98895,264.2394,17.62294,3.264762,0.719044,0.719044,6.493386,7.263198,12.39617,48.33667,471.8661,471.8661,30.48562,4.610183,0,1,1.727504,6.379245,1.406526,1.680187,29.39057,1585.694,2522.684,7.98486,19.25915,1,1714.169,2.7,4.295,20656.7,93.45768,278.8539,2.317858,215.3667,7.263198,4.86204,322.3358
2012,50.9214,95.33129,108.1574,3.673004,4.550857,401.764,992.5059,2.7,0.965681,0.777845,0.785147,1441.704,0.777845,510.5271,510.5271,81.83792,1.521448,0.376984,1,1.521555,8360.372,2,6.922592,1.954159,2,1.249342,53.41422,7.614356,510.5271,0.999543,0.937519,486.2721,6.308629,511.111,510.5271,919.2555,510.5271,1796.74,382.7134,86.31895,503.0547,0.777845,19.55427,0.777845,888.2719,177.721,2.7,5.790284,39.28091,77.81852,1234.388,343.335,1,6.071174,15.375,0.777845,0.777845,17.78909,0.777845,1.786879,0.777845,1,510.5271,0.630878,1.650671,1.852373,7109.88,31.10709,510.5271,510.5271,0.777845,2.7,7.834442,204.3583,41.67617,7.757068,19.31983,5.85042,41.6382,224.9621,43.71828,9387.382,53.41422,0.777845,12197.65,1166.167,125.1447,3.854062,0.777845,88.53104,0.708112,79.84826,149.1508,84.47029,47.0038,4033,0.965801,2.7,1126.386,0.280123,147.0725,8007.758,1504.134,73.51477,1.26166,2.7,849.4591,127.6413,8.207109,0.777845,0.777845,0.777845,8.637202,12.10352,2199.09,15.36831,13.15312,888.8448,47.92631,510.5271,0.777845,640.6534,4671.009,0.778294,1358.5,28.27391,296.3751,30.10004,246.0198,3.088476,8.207109,510.5271,158.8294,23.54643,0.777845,5.81686,85.3406,1.23471,3.905679,0.384959,93.38918,1,2.637554,42.21482,2.058966,3.253365,0.777845,4425.612,1,3.641004,3.467894,31.0565,614.226,60.73592,3.7501,3.538279,510.5271,1.249427,7.103609,4259.929,8.748266,0.778294,87.9733,2.95,272.4264,19.06842,3.3,0.777845,0.777845,6.770732,8.207109,13.75583,64.58083,510.5271,510.5271,31.06709,4.737708,0,1,1.717593,6.381284,1.561732,1.800003,29.57536,1586.864,2502.994,8.082717,20.24342,1,1885.384,2.7,4.295,20873.13,94.16281,302.4357,2.292869,215.5678,8.207109,5.143815,322.355
2013,55.3775,96.51681,105.6869,3.673,5.478517,409.6257,1077.583,2.7,1.036345,0.753019,0.784035,1562.75,0.753019,494.04,494.04,78.07999,1.472887,0.377,1,1.472924,8905.087,2,6.917118,2.158732,2,1.251201,58.55305,8.393337,494.04,1.030167,0.926745,495.4637,6.148687,495.1759,494.04,919.8052,494.04,1869.273,370.4912,83.0725,500.1589,0.753019,19.55704,0.753019,1075.086,177.721,2.7,5.616253,41.74453,79.65374,1340.3,365.5116,1,6.874852,15.375,0.753019,0.753019,18.71782,0.753019,1.832064,0.753019,1,494.04,0.639537,1.663314,2.066949,7002.831,33.97647,494.04,494.04,0.753019,2.7,7.860288,205.3942,43.18978,7.75672,20.10558,5.706939,42.91493,223.5797,45.30463,10448.93,58.55305,0.753019,17966.66,1166,122.1498,3.60967,0.753019,99.8191,0.708214,97.60915,152.2029,86.10866,48.43566,4027.25,1.035843,2.7,1094.615,0.283901,151.479,7860.138,1507.313,77.52,1.271692,2.7,857.9421,129.1335,9.651338,0.753019,0.753019,0.753019,8.412974,12.51772,2219.065,15.36603,12.76505,1078.372,46.5298,494.04,0.753019,933.5705,6794.48,0.753159,1521.241,30.1555,296.585,30.75192,364.4577,3.150884,9.651338,494.04,159.2448,24.71435,0.753019,5.877146,93.63972,1.219753,4.07386,0.384996,101.5805,1,2.703146,42.46211,2.238487,3.159604,0.753019,4308.621,1,3.641085,3.327337,31.86124,649.8429,65.54933,3.750217,4.683638,494.04,1.251228,7.18109,4251.683,8.746979,0.753159,85.15885,2.95,273.7524,18.44995,3.3,0.753019,0.753019,6.512913,9.651338,12.07729,108.7333,494.04,494.04,30.72309,4.764233,0,1,1.774828,6.373458,1.625196,1.905712,29.70163,1617.143,2585.563,8.155103,20.43513,1,2092.345,2.7,6.075725,21029.04,95.91385,360.9847,2.310603,215.0115,9.651338,5.38695,322.355
2014,57.2475,98.41658,105.5438,3.673,8.120707,415.9198,1188.7,2.7,1.109586,0.753696,0.783797,1558.429,0.753696,494.415,494.415,77.55206,1.474284,0.377004,1,1.474321,10246.76,2,6.91129,2.354273,2,1.267198,61.02941,8.972307,494.415,1.104706,0.915291,570.7251,6.161508,496.0206,494.415,922.387,494.415,2002.479,370.8396,83.0345,538.7267,0.753696,20.75614,0.753696,1326.238,177.7208,2.7,5.618762,43.46705,80.58261,1479.738,419.919,1,7.083795,15.375,0.753696,0.753696,19.67521,0.753696,1.883556,0.753696,1,494.415,0.607349,1.764719,3.065784,7024.871,39.96742,494.415,494.415,0.753696,2.7,7.734992,206.4492,43.66097,7.754754,20.50081,5.754664,45.05105,232.7261,45.77233,11866.03,61.02941,0.753696,25647.8,1166,116.6927,3.577937,0.753696,110.8972,0.708165,105.8948,179.4812,87.94807,53.56522,4037.5,1.109363,2.7,1053.022,0.284696,161.4898,8048.96,1509.871,83.8925,1.272402,2.7,875.0068,130.593,10.84821,0.753696,0.753696,0.753696,8.416534,14.04275,2475.103,15.36809,13.31022,1333.084,46.41063,494.415,0.753696,984.3457,9621.454,0.753731,1813.41,31.3533,294.9485,30.64452,421.8309,3.272792,10.84821,494.415,165.1708,25.95739,0.753696,6.304377,97.69467,1.205838,4.609685,0.385,101.0398,1,2.839274,44.39855,2.523286,3.15522,0.753696,4463.429,1,3.641409,3.349061,38.58106,685.69,67.57025,3.750999,5.844521,494.415,1.267348,7.288184,4318.785,8.748421,0.753731,88.40531,2.95,279.7124,18.4664,3.360514,0.753696,0.753696,6.862425,10.84821,12.76294,154.13,494.415,494.415,32.47666,4.937567,0,1,1.827236,6.352414,1.697751,2.187766,30.3286,1663.535,2597.033,12.01056,23.21831,1,2308.992,2.7,6.292221,21198.86,97.18582,438.6073,2.331331,215.0249,10.84821,6.159591,322.3492
2015,61.14346,120.0968,125.8852,3.672992,9.256635,477.9183,1315.008,2.7,1.331668,0.900748,1.027043,1570.215,0.900748,591.4495,591.4495,77.94732,1.761853,0.377032,1,1.761927,15966.31,2,6.90119,3.331694,2,1.374202,64.13791,10.12241,591.4495,1.278921,0.962246,654.3547,6.285359,592.6857,591.4495,921.1231,591.4495,2746.207,443.1757,99.38569,534.7724,0.900748,24.57544,0.900748,1500.82,177.72,2.7,6.718761,44.9276,100.3544,1638.078,626.8239,1,7.701608,15.375,0.900748,0.900748,20.67524,0.900748,2.08806,0.900748,1,591.4495,0.65404,2.271107,3.786386,7431.78,41.07165,591.4495,591.4495,0.900748,2.7,7.657192,206.5,48.16427,7.75261,21.77936,6.856747,51.0429,279.0908,50.50147,13388.03,64.13791,0.900748,28804.8,1167.333,131.7942,3.882594,0.900748,116.9341,0.708873,121.0042,222.9022,98.19212,64.41166,4067.75,1.33109,2.7,1131.545,0.300978,214.3692,8147.908,1504.58,86.18837,1.38121,2.7,1008.821,136.051,12.76755,0.900748,0.900748,0.900748,9.748079,18.82101,3101.912,15.27193,15.88257,1508.283,55.36106,591.4495,0.900748,1162.615,10785.87,0.901659,1967.694,39.3839,310.1296,35.09762,498.5936,3.906425,12.76755,591.4495,197.874,27.14936,0.900748,8.063634,102.6055,1.433863,4.935868,0.385,102.7653,1,3.185434,45.51624,2.758158,3.767537,0.900748,5199.79,1,3.641243,4.00357,61.33828,718.2466,70.48691,3.751183,5.972397,591.4495,1.374665,7.747431,4308.904,8.738887,0.901659,108.8114,4.089258,327.2175,22.09064,3.448577,0.900748,0.900748,8.430864,12.76755,13.32125,237.0292,591.4495,591.4495,34.25027,6.163117,0,1,2.062069,6.351969,1.960127,2.725383,31.77071,2034.329,3237.245,21.96685,27.28295,1,2569.196,2.7,6.292,21920.18,106.681,495.4766,2.545019,214.9747,12.7675,8.632821,322.355
2016,67.86609,165.2109,124.1759,3.672996,14.75874,480.4882,1315.475,2.696728,1.34498,0.904335,1.611235,1621.521,0.904335,593.0082,593.0082,78.44051,1.768958,0.377004,1,1.768919,19902.81,2,6.906378,3.486715,2,1.381391,67.18516,10.8961,593.0082,1.325084,0.985668,676.7976,6.645067,595.7726,593.0082,968.2602,593.0082,3050.632,444.9461,99.68811,544.2769,0.904335,24.44889,0.904335,1605.175,177.72,2.7,6.733514,45.98534,109.4412,1637.875,771.8903,1,10.12404,15.375,0.904335,0.904335,21.83828,0.904335,2.084394,0.904335,1,593.0082,0.740701,2.366819,3.952958,8398.011,42.03145,593.0082,593.0082,0.904335,2.7,7.604013,206.5,47.50401,7.762251,22.83274,6.81345,63.17935,281.6288,49.74815,13307.1,67.18516,0.904335,32187.26,1182,120.8887,3.83954,0.904335,125.1748,0.708839,108.7959,342.0505,101.5342,70.28926,4058.695,1.345214,2.7,1160.475,0.302333,237.5195,8179.268,1512.196,94.42724,1.390369,2.7,1081.835,146.1561,14.70609,0.904335,0.904335,0.904335,9.810445,19.89338,3169.64,15.35033,18.70317,1613.114,55.69514,593.0082,0.904335,1234.87,12034.53,0.904035,2143.927,62.8153,349.4888,35.53864,713.2839,4.144227,14.7061,593.0082,258.5106,28.60578,0.904335,8.401102,107.4989,1.435512,5.996786,0.385,104.729,1,3.375624,47.50336,3.127535,3.94631,0.904335,5677.326,1,3.641332,4.061554,67.05876,785.0027,73.5313,3.750825,6.478355,593.0082,1.381132,7.879016,4818.631,8.743201,0.904035,111.2779,49.40679,363.0031,22.14886,6.238824,0.904335,0.904335,8.56271,14.70604,13.29962,460.2758,593.0082,593.0082,35.28663,7.835675,0,1,2.194502,6.634943,2.148756,3.025645,32.26237,2186.543,3418.279,25.53714,30.10969,1,2964.753,2.7,9.264732,22364.71,109.5311,527.132,2.543874,240.7871,14.7061,10.31242,0
2017,68.0269,167.0638,119.0652,3.673,16.54435,482.7164,1325.904,2.683555,1.304616,0.886908,1.723725,1726.427,0.886908,582.0946,582.0946,80.96424,1.734772,0.377063,1,1.734759,19324.58,2,6.913809,3.190255,2,1.380619,65.11012,10.33466,582.0946,1.298174,0.984386,648.5044,6.757446,588.8516,582.0946,1460.481,582.0946,2949.537,436.3364,97.80694,567.5274,0.886908,23.3712,0.886908,1736.292,177.72,2.7,6.59765,47.43667,110.9254,1651.359,791.9951,1,17.85036,15.375,0.886908,0.886908,23.9981,0.886908,2.061013,0.886908,1,582.0946,0.77623,2.506382,4.401308,9119.621,45.87281,582.0946,582.0946,0.886908,2.7,7.35124,206.5,47.0427,7.792594,23.48546,6.61954,64.74844,274.333,49.24557,13380.33,65.11012,0.886908,37196.82,1184,106.7582,3.597845,0.886908,128.1074,0.708936,112.1103,326.2216,103.4119,68.88949,4050.58,1.304758,2.7,1130.911,0.303441,230.8926,8351.526,1510.456,112.7067,1.39382,2.7,1174.898,152.5293,13.31425,0.886908,0.886908,0.886908,9.704663,18.45185,3095.375,15.40372,18.90127,1744.809,54.6014,582.0946,0.886908,1360.359,13879.95,0.887397,2438.88,63.58211,356.8169,34.56766,725.355,4.298308,13.31428,582.0946,334.0375,30.04514,0.886908,8.267637,104.1898,1.407195,6.298733,0.385023,105.3538,1,3.26098,50.41648,3.182736,3.775831,0.886908,5624.062,1,3.679199,4.050527,58.31053,837.7992,72.19556,3.750174,6.729754,582.0946,1.380699,7.797087,7428.433,8.746624,0.887397,107.7589,115.388,403.2338,21.74114,7.487139,0.886908,0.886908,8.546526,13.31431,13.47783,492.6108,582.0946,582.0946,33.92431,8.549742,0,1,2.186648,6.751311,2.421189,3.648782,30.42813,2236.251,3611.038,26.61622,28.63981,1,5138.372,2.7,10.04022,22713.72,107.5134,567.1622,2.49569,250.2535,13.3143,9.540511,0
2018,69.36351,248.1632,107.9477,3.673,27.16527,481.9243,1394.157,2.697548,1.334079,0.843599,1.696376,1778.375,0.843599,542.03,542.03,83.71367,1.650143,0.377335,1.000011,1.655878,20303.15,2,6.910417,3.627002,2.004768,1.342554,68.30488,10.14345,542.03,1.291391,0.975967,638.617,6.587381,568.5228,542.03,1615.372,542.03,2931.281,415.0137,90.4767,576.6721,0.843599,21.61689,0.843599,3493.391,177.72,2.7,6.286926,49.49143,116.4133,1736.216,890.3779,1,17.81423,15.375,0.843599,0.843599,27.57885,0.843599,2.077928,0.843599,1,542.03,0.744603,2.518828,4.653688,9065.23,48.23486,542.03,542.03,0.843599,2.7,7.504097,206.62,46.0148,7.838964,23.85819,6.261412,66.10376,268.8754,48.05563,14225.31,68.30488,0.843599,44136.57,0,106.8769,3.577909,0.843599,129.4451,0.709511,110.1815,342.5417,101.1211,68.73462,4029.668,1.296302,2.7,1098.174,0.301963,7150.268,8298.31,1512.514,130.114,1.334867,2.7,1200.935,160.7592,13.15806,0.843599,0.843599,0.843599,9.368735,16.74667,3325.338,15.48585,19.10904,3528.132,51.94217,542.03,0.843599,1338.226,16457.57,0.826319,2453.609,60.19766,355.5662,34.00843,725.1693,4.01877,13.15805,542.03,361.4398,31.55941,0.843599,8.079295,109.3749,1.445643,8.26814,0.385,119.862,1,3.280609,52.71517,3.283506,3.592967,0.843599,5715.749,1,3.657515,3.925965,62.35848,868.2776,76.48503,3.750349,0,542.03,1.346743,7.824879,7928.967,8.749484,0.826319,97.7267,135.2603,418.8981,19.92909,7.503945,0.843599,0.843599,8.659546,13.15813,13.50367,436.5,542.03,542.03,32.25705,8.85722,0,1,2.223748,6.788233,2.605522,4.803305,30.06979,2270.218,3728.028,27.14322,30.59843,1,8109.493,2.7,77629.49,22992.54,107.7962,1107.049,2.534559,250.2664,13.15812,10.33391,0
